Economy_Label,1980_Dead_weight_tons_in_thousands_Value,1980_Dead_weight_tons_Footnote,1980_Dead_weight_tons_MissingValue,1981_Dead_weight_tons_in_thousands_Value,1981_Dead_weight_tons_Footnote,1981_Dead_weight_tons_MissingValue,1982_Dead_weight_tons_in_thousands_Value,1982_Dead_weight_tons_Footnote,1982_Dead_weight_tons_MissingValue,1983_Dead_weight_tons_in_thousands_Value,1983_Dead_weight_tons_Footnote,1983_Dead_weight_tons_MissingValue,1984_Dead_weight_tons_in_thousands_Value,1984_Dead_weight_tons_Footnote,1984_Dead_weight_tons_MissingValue,1985_Dead_weight_tons_in_thousands_Value,1985_Dead_weight_tons_Footnote,1985_Dead_weight_tons_MissingValue,1986_Dead_weight_tons_in_thousands_Value,1986_Dead_weight_tons_Footnote,1986_Dead_weight_tons_MissingValue,1987_Dead_weight_tons_in_thousands_Value,1987_Dead_weight_tons_Footnote,1987_Dead_weight_tons_MissingValue,1988_Dead_weight_tons_in_thousands_Value,1988_Dead_weight_tons_Footnote,1988_Dead_weight_tons_MissingValue,1989_Dead_weight_tons_in_thousands_Value,1989_Dead_weight_tons_Footnote,1989_Dead_weight_tons_MissingValue,1990_Dead_weight_tons_in_thousands_Value,1990_Dead_weight_tons_Footnote,1990_Dead_weight_tons_MissingValue,1991_Dead_weight_tons_in_thousands_Value,1991_Dead_weight_tons_Footnote,1991_Dead_weight_tons_MissingValue,1992_Dead_weight_tons_in_thousands_Value,1992_Dead_weight_tons_Footnote,1992_Dead_weight_tons_MissingValue,1993_Dead_weight_tons_in_thousands_Value,1993_Dead_weight_tons_Footnote,1993_Dead_weight_tons_MissingValue,1994_Dead_weight_tons_in_thousands_Value,1994_Dead_weight_tons_Footnote,1994_Dead_weight_tons_MissingValue,1995_Dead_weight_tons_in_thousands_Value,1995_Dead_weight_tons_Footnote,1995_Dead_weight_tons_MissingValue,1996_Dead_weight_tons_in_thousands_Value,1996_Dead_weight_tons_Footnote,1996_Dead_weight_tons_MissingValue,1997_Dead_weight_tons_in_thousands_Value,1997_Dead_weight_tons_Footnote,1997_Dead_weight_tons_MissingValue,1998_Dead_weight_tons_in_thousands_Value,1998_Dead_weight_tons_Footnote,1998_Dead_weight_tons_MissingValue,1999_Dead_weight_tons_in_thousands_Value,1999_Dead_weight_tons_Footnote,1999_Dead_weight_tons_MissingValue,2000_Dead_weight_tons_in_thousands_Value,2000_Dead_weight_tons_Footnote,2000_Dead_weight_tons_MissingValue,2001_Dead_weight_tons_in_thousands_Value,2001_Dead_weight_tons_Footnote,2001_Dead_weight_tons_MissingValue,2002_Dead_weight_tons_in_thousands_Value,2002_Dead_weight_tons_Footnote,2002_Dead_weight_tons_MissingValue,2003_Dead_weight_tons_in_thousands_Value,2003_Dead_weight_tons_Footnote,2003_Dead_weight_tons_MissingValue,2004_Dead_weight_tons_in_thousands_Value,2004_Dead_weight_tons_Footnote,2004_Dead_weight_tons_MissingValue,2005_Dead_weight_tons_in_thousands_Value,2005_Dead_weight_tons_Footnote,2005_Dead_weight_tons_MissingValue,2006_Dead_weight_tons_in_thousands_Value,2006_Dead_weight_tons_Footnote,2006_Dead_weight_tons_MissingValue,2007_Dead_weight_tons_in_thousands_Value,2007_Dead_weight_tons_Footnote,2007_Dead_weight_tons_MissingValue,2008_Dead_weight_tons_in_thousands_Value,2008_Dead_weight_tons_Footnote,2008_Dead_weight_tons_MissingValue,2009_Dead_weight_tons_in_thousands_Value,2009_Dead_weight_tons_Footnote,2009_Dead_weight_tons_MissingValue,2010_Dead_weight_tons_in_thousands_Value,2010_Dead_weight_tons_Footnote,2010_Dead_weight_tons_MissingValue,2011_Dead_weight_tons_in_thousands_Value,2011_Dead_weight_tons_Footnote,2011_Dead_weight_tons_MissingValue,2012_Dead_weight_tons_in_thousands_Value,2012_Dead_weight_tons_Footnote,2012_Dead_weight_tons_MissingValue,2013_Dead_weight_tons_in_thousands_Value,2013_Dead_weight_tons_Footnote,2013_Dead_weight_tons_MissingValue,2014_Dead_weight_tons_in_thousands_Value,2014_Dead_weight_tons_Footnote,2014_Dead_weight_tons_MissingValue,2015_Dead_weight_tons_in_thousands_Value,2015_Dead_weight_tons_Footnote,2015_Dead_weight_tons_MissingValue,2016_Dead_weight_tons_in_thousands_Value,2016_Dead_weight_tons_Footnote,2016_Dead_weight_tons_MissingValue,2017_Dead_weight_tons_in_thousands_Value,2017_Dead_weight_tons_Footnote,2017_Dead_weight_tons_MissingValue,2018_Dead_weight_tons_in_thousands_Value,2018_Dead_weight_tons_Footnote,2018_Dead_weight_tons_MissingValue,2019_Dead_weight_tons_in_thousands_Value,2019_Dead_weight_tons_Footnote,2019_Dead_weight_tons_MissingValue,2020_Dead_weight_tons_in_thousands_Value,2020_Dead_weight_tons_Footnote,2020_Dead_weight_tons_MissingValue,2021_Dead_weight_tons_in_thousands_Value,2021_Dead_weight_tons_Footnote,2021_Dead_weight_tons_MissingValue,2022_Dead_weight_tons_in_thousands_Value,2022_Dead_weight_tons_Footnote,2022_Dead_weight_tons_MissingValue,2023_Dead_weight_tons_in_thousands_Value,2023_Dead_weight_tons_Footnote,2023_Dead_weight_tons_MissingValue,2024_Dead_weight_tons_in_thousands_Value,2024_Dead_weight_tons_Footnote,2024_Dead_weight_tons_MissingValue,2025_Dead_weight_tons_in_thousands_Value,2025_Dead_weight_tons_Footnote,2025_Dead_weight_tons_MissingValue
"World",181880,,,184501,,,193217,,,204631,,,212915,,,218518,,,227551,,,226967,,,223659,,,222432,,,223619,,,230028,,,236143,,,234697,,,236843,,,250142,,,261169,,,271702,,,280055,,,274690,,,274445,,,280323,,,294780,,,296140,,,308935,,,325666,,,349721,,,367542,,,391127,,,418356,,,456623,,,547192,,,624022,,,689743,,,730296,,,762322,,,779289,,,795586,,,822906,,,846461,,,879826,,,913976,,,947425,,,976439,,,1006329,,,1036158,,
"Africa",46924,,,45295,,,44077,,,44019,,,44086,,,42039,,,40560,,,35550,,,32990,,,30767,,,28419,,,31756,,,30712,,,31590,,,28786,,,29154,,,29671,,,31089,,,32878,,,31104,,,26711,,,23432,,,22350,,,20768,,,20846,,,20309,,,20913,,,22433,,,25083,,,29617,,,36561,,,50325,,,63865,,,69730,,,71491,,,75217,,,78600,,,83437,,,92284,,,100309,,,118871,,,136388,,,154705,,,177319,,,192702,,,208487,,
"Northern Africa",261,,,261,,,421,,,300,,,359,,,567,,,814,,,930,,,922,,,933,,,943,,,1040,,,1075,,,1075,,,912,,,1052,,,1208,,,1233,,,1330,,,1385,,,1350,,,1236,,,1310,,,1185,,,1054,,,1054,,,1054,,,1039,,,883,,,910,,,910,,,1031,,,1312,,,1106,,,1048,,,1048,,,1048,,,983,,,898,,,879,,,959,,,959,,,1040,,,982,,,956,,,1038,,
"Sub-Saharan Africa",46663,,,45034,,,43656,,,43719,,,43727,,,41472,,,39747,,,34620,,,32067,,,29833,,,27476,,,30716,,,29637,,,30515,,,27874,,,28101,,,28462,,,29856,,,31548,,,29719,,,25362,,,22196,,,21040,,,19583,,,19791,,,19255,,,19858,,,21394,,,24200,,,28707,,,35651,,,49294,,,62553,,,68624,,,70443,,,74169,,,77552,,,82454,,,91385,,,99430,,,117912,,,135429,,,153665,,,176337,,,191746,,,207449,,
"Eastern Africa",,,,,,,,,,,,,,,,29,,,29,,,225,,,179,,,152,,,66,,,79,,,79,,,127,,,191,,,204,,,3,,,3,,,5,,,5,,,5,,,5,,,5,,,122,,,258,,,187,,,179,,,232,,,224,,,251,,,265,,,750,,,432,,,277,,,366,,,237,,,379,,,286,,,238,,,218,,,170,,,347,,,380,,,544,,,622,,,745,,
"Middle Africa",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,19,,,39,,,39,,,39,,,19,,,,,,16,,,105,,,29,,,29,,,29,,,29,,,7,,,7,,,7,,,7,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,26,,,78,,,158,,,256,,,165,,,299,,,198,,
"Southern Africa",285,,,287,,,315,,,318,,,353,,,280,,,226,,,226,,,170,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,358,,,358,,,358,,,358,,,414,,,242,,,448,,,439,,,383,,,583,,
"Western Africa",46349,,,44747,,,43341,,,43401,,,43374,,,41163,,,39491,,,34169,,,31718,,,29511,,,27410,,,30637,,,29557,,,30388,,,27664,,,27878,,,28421,,,29815,,,31504,,,29695,,,25356,,,22175,,,20930,,,19432,,,19505,,,19039,,,19651,,,21155,,,23969,,,28450,,,35380,,,48544,,,62122,,,68347,,,70076,,,73932,,,76814,,,81809,,,90788,,,98827,,,117250,,,134682,,,152580,,,175189,,,190442,,,205924,,
"Americas",15609,,,17583,,,20873,,,26880,,,31040,,,35121,,,40526,,,43526,,,45873,,,46247,,,47075,,,41450,,,45900,,,46592,,,50236,,,56917,,,66185,,,79306,,,92842,,,96277,,,101244,,,108515,,,115632,,,115151,,,120089,,,126339,,,138591,,,152793,,,161755,,,172391,,,185141,,,215776,,,230370,,,239625,,,234122,,,237529,,,234106,,,232240,,,225045,,,220661,,,222781,,,231794,,,233333,,,233888,,,234678,,,241760,,
"Asia",38859,,,40212,,,44596,,,50416,,,56589,,,62768,,,72139,,,80902,,,86803,,,87278,,,85049,,,86454,,,88023,,,88054,,,91531,,,99379,,,103537,,,102930,,,96883,,,92245,,,92202,,,93114,,,95012,,,96824,,,100998,,,107591,,,110630,,,114371,,,120147,,,124911,,,134276,,,161666,,,191423,,,223842,,,251123,,,265265,,,270701,,,271610,,,283770,,,297832,,,306830,,,307929,,,315890,,,321703,,,330342,,,333365,,
"Europe",79028,,,80022,,,82090,,,81572,,,79413,,,76782,,,72528,,,64740,,,55524,,,55378,,,60258,,,66361,,,67706,,,64968,,,62690,,,61265,,,58662,,,55422,,,54647,,,52359,,,52101,,,53408,,,54422,,,56824,,,59803,,,60889,,,66603,,,62641,,,64506,,,67084,,,72991,,,79046,,,90641,,,95351,,,102671,,,103223,,,104699,,,107375,,,109294,,,108483,,,105008,,,104611,,,98561,,,91997,,,88393,,,94902,,
"Oceania",1460,,,1389,,,1580,,,1744,,,1787,,,1809,,,1798,,,2249,,,2469,,,2762,,,2818,,,4007,,,3803,,,3492,,,3600,,,3427,,,3114,,,2956,,,2806,,,2704,,,2188,,,1854,,,7363,,,6573,,,7200,,,10538,,,12984,,,14221,,,18734,,,23556,,,26673,,,40124,,,47158,,,60491,,,70553,,,80877,,,91014,,,100830,,,112450,,,119113,,,126256,,,133146,,,144830,,,151314,,,160025,,,157536,,
"Individual economies",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Algeria",128,,,129,,,129,,,129,,,129,,,129,,,94,,,94,,,94,,,126,,,156,,,254,,,288,,,288,,,288,,,288,,,288,,,288,,,288,,,288,,,288,,,288,,,288,,,288,,,288,,,288,,,288,,,234,,,204,,,204,,,204,,,204,,,204,,,150,,,150,,,150,,,150,,,85,,,0,,,0,,,53,,,53,,,53,,,53,,,53,,,53,,
"Angola",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Cameroon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,52,,,90,,,78,,,56,,,167,,,126,,
"Comoros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,245,,,174,,,171,,,224,,,198,,,251,,,249,,,572,,,335,,,157,,,140,,,112,,,229,,,76,,,171,,,157,,,120,,,180,,,230,,,410,,,459,,,492,,
"Congo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Dem. Rep. of the Congo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Djibouti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,39,,,39,,,39,,,39,,,39,,
"Egypt",,,,,,,38,,,38,,,38,,,204,,,449,,,565,,,607,,,586,,,565,,,565,,,565,,,565,,,565,,,706,,,861,,,886,,,983,,,1054,,,1035,,,922,,,996,,,871,,,740,,,740,,,740,,,778,,,679,,,679,,,679,,,800,,,1081,,,930,,,898,,,898,,,898,,,898,,,898,,,879,,,905,,,905,,,987,,,929,,,903,,,985,,
"Equatorial Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,26,,,26,,,26,,,26,,,26,,,26,,,26,,
"Eritrea",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Ethiopia",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,63,,,63,,
"Ethiopia (...1991)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"French Southern Territories",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Gabon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,19,,,39,,,39,,,39,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,43,,,152,,,82,,,0,,,0,,
"Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Libya",,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Madagascar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Mauritius",,,,,,,,,,,,,,,,29,,,29,,,225,,,179,,,152,,,66,,,79,,,79,,,127,,,191,,,204,,,3,,,3,,,5,,,5,,,5,,,5,,,5,,,13,,,13,,,13,,,8,,,8,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Morocco",101,,,101,,,101,,,101,,,133,,,175,,,212,,,212,,,163,,,163,,,163,,,163,,,163,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Mozambique",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
